Upper tier local authorities Code,Upper tier local authorities,Age (9 categories) Code,Age (9 categories),Observation
E06000045,Southampton,7,Aged 50 to 64 years,39470
E06000045,Southampton,8,Aged 65 to 74 years,18609
E06000045,Southampton,9,Aged 75 years and over,15641
E06000046,Isle of Wight,1,Aged 4 years and under,5552
E06000046,Isle of Wight,2,Aged 5 to 9 years,6863
E06000046,Isle of Wight,3,Aged 10 to 15 years,8458
E06000046,Isle of Wight,4,Aged 16 to 24 years,10941
E06000046,Isle of Wight,5,Aged 25 to 34 years,13917
E06000046,Isle of Wight,6,Aged 35 to 49 years,21796
E06000046,Isle of Wight,7,Aged 50 to 64 years,31913
E06000046,Isle of Wight,8,Aged 65 to 74 years,21683
E06000046,Isle of Wight,9,Aged 75 years and over,19336
E06000047,County Durham,1,Aged 4 years and under,24752
E06000047,County Durham,2,Aged 5 to 9 years,28357
E06000047,County Durham,3,Aged 10 to 15 years,35001
E06000047,County Durham,4,Aged 16 to 24 years,58785
E06000047,County Durham,5,Aged 25 to 34 years,59885
E06000047,County Durham,6,Aged 35 to 49 years,91436
E06000047,County Durham,7,Aged 50 to 64 years,112514
E06000047,County Durham,8,Aged 65 to 74 years,61756
E06000047,County Durham,9,Aged 75 years and over,49582
E06000049,Cheshire East,1,Aged 4 years and under,19930
E06000049,Cheshire East,2,Aged 5 to 9 years,22095
E06000049,Cheshire East,3,Aged 10 to 15 years,27273
E06000049,Cheshire East,4,Aged 16 to 24 years,32928
E06000049,Cheshire East,5,Aged 25 to 34 years,46086
E06000049,Cheshire East,6,Aged 35 to 49 years,74840
E06000049,Cheshire East,7,Aged 50 to 64 years,86393
E06000049,Cheshire East,8,Aged 65 to 74 years,46687
E06000049,Cheshire East,9,Aged 75 years and over,42540
E06000050,Cheshire West and Chester,1,Aged 4 years and under,17618
E06000050,Cheshire West and Chester,2,Aged 5 to 9 years,19846
E06000050,Cheshire West and Chester,3,Aged 10 to 15 years,24328
E06000050,Cheshire West and Chester,4,Aged 16 to 24 years,34436
E06000050,Cheshire West and Chester,5,Aged 25 to 34 years,43703
E06000050,Cheshire West and Chester,6,Aged 35 to 49 years,66149
E06000050,Cheshire West and Chester,7,Aged 50 to 64 years,75323
E06000050,Cheshire West and Chester,8,Aged 65 to 74 years,40381
E06000050,Cheshire West and Chester,9,Aged 75 years and over,35366
E06000051,Shropshire,1,Aged 4 years and under,14422
E06000051,Shropshire,2,Aged 5 to 9 years,16249
E06000051,Shropshire,3,Aged 10 to 15 years,20689
E06000051,Shropshire,4,Aged 16 to 24 years,28599
E06000051,Shropshire,5,Aged 25 to 34 years,34824
E06000051,Shropshire,6,Aged 35 to 49 years,53925
E06000051,Shropshire,7,Aged 50 to 64 years,72810
E06000051,Shropshire,8,Aged 65 to 74 years,42766
E06000051,Shropshire,9,Aged 75 years and over,39322
E06000052,Cornwall,1,Aged 4 years and under,25532
E06000052,Cornwall,2,Aged 5 to 9 years,30256
E06000052,Cornwall,3,Aged 10 to 15 years,37092
E06000052,Cornwall,4,Aged 16 to 24 years,51991
E06000052,Cornwall,5,Aged 25 to 34 years,59998
E06000052,Cornwall,6,Aged 35 to 49 years,96998
